gpu,solver_key,solver,divergence,dim,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 numba (sorted),modax rodas5 numba (sorted),0.4,3,30000,9.60201770067215,120.61706666666667,6.838366337853989,0.056694848638230204,0.0796074549483778,46.76325417069458,108,138,3.032966666666667
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 numba (sorted),modax rodas5 numba (sorted),0.5,3,30000,9.421935770660639,118.0126,8.103112360136526,0.06866311190615684,0.07983838819465582,65.66042992099736,103,137,3.0443
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 numba (sorted),modax rodas5 numba (sorted),0.6,3,30000,9.1673843562603,115.49043333333333,9.366050354455552,0.08109806227346004,0.07937786786028424,87.72289924219697,98,139,3.0465
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 numba (sorted),modax rodas5 numba (sorted),0.7,3,30000,9.034533053636551,113.0392,10.644120752958107,0.09416309344862762,0.07992389413262437,113.29730660355345,94,137,3.0470333333333333
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 numba (sorted),modax rodas5 numba (sorted),0.8,3,30000,8.828450925648212,110.6239,11.924109537806544,0.10778963260024771,0.07980599965873751,142.184388269609,88,137,3.0485333333333333
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 numba (sorted),modax rodas5 numba (sorted),0.9,3,30000,8.60573910176754,108.10743333333333,13.456710625096456,0.12447535021578648,0.07960358355038374,181.08306084758382,80,138,3.0519666666666665
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 numba (sorted),modax rodas5 numba (sorted),1.0,3,30000,8.35254741832614,105.03776666666667,15.841642557939501,0.15081853947078241,0.07951946888620194,250.95763893352,68,137,3.050333333333333
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel,julia rodas5 kernel,0.0,3,30000,102.94486,134.0,0.0,0.0,0.768245223880597,0.0,134,134,3.0
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel,julia rodas5 kernel,0.1,3,30000,166.322441,129.87223333333333,3.0670435119322472,0.023615852543786602,1.280662053243611,9.406755904085692,125,138,3.003833333333333
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel,julia rodas5 kernel,0.2,3,30000,166.300017,126.2733,4.451906081548137,0.03525611575485979,1.316984802012777,19.819467758925292,119,139,3.026466666666667
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel,julia rodas5 kernel,0.3,3,30000,164.852017,123.31293333333333,5.622335791366484,0.04559404791846503,1.3368590993969813,31.61065975088059,112,138,3.037533333333333
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel,julia rodas5 kernel,0.4,3,30000,165.258249,120.63916666666667,6.84011638877312,0.05669896914716575,1.3698556908687753,46.78719221196262,108,137,3.033166666666667
