solver_key,solver,dim,solve_time_ms
modax kencarp5 jax linear,modax kencarp5 jax linear,4,18.511048052459955
modax kencarp5 jax linear,modax kencarp5 jax linear,8,27.738486882299185
modax kencarp5 jax linear,modax kencarp5 jax linear,12,34.45215290412307
modax kencarp5 jax linear,modax kencarp5 jax linear,16,39.68531312420964
modax kencarp5 jax linear,modax kencarp5 jax linear,24,90.11612692847848
modax kencarp5 jax linear,modax kencarp5 jax linear,32,122.97000829130411
modax kencarp5 jax linear,modax kencarp5 jax linear,48,253.29908030107617
modax kencarp5 jax linear,modax kencarp5 jax linear,64,421.5439399704337
modax kencarp5 jax linear,modax kencarp5 jax linear,96,939.3844869919121
modax kencarp5 jax linear,modax kencarp5 jax linear,128,1828.6839597858489
modax kencarp5 jax newton,modax kencarp5 jax newton,4,44.66602997854352
modax kencarp5 jax newton,modax kencarp5 jax newton,8,70.20930992439389
modax kencarp5 jax newton,modax kencarp5 jax newton,12,81.10533794388175
modax kencarp5 jax newton,modax kencarp5 jax newton,16,93.95642904564738
modax kencarp5 jax newton,modax kencarp5 jax newton,24,178.68098616600037
modax kencarp5 jax newton,modax kencarp5 jax newton,32,245.91216398403049
modax kencarp5 jax newton,modax kencarp5 jax newton,48,519.1828501410782
modax kencarp5 jax newton,modax kencarp5 jax newton,64,852.2596447728574
modax kencarp5 jax newton,modax kencarp5 jax newton,96,1893.1498927995563
modax kencarp5 jax newton,modax kencarp5 jax newton,128,3660.7195497490466
modax kencarp5 numba linear,modax kencarp5 numba linear,4,5.251614842563868
modax kencarp5 numba linear,modax kencarp5 numba linear,8,11.073218192905188
modax kencarp5 numba linear,modax kencarp5 numba linear,12,17.180395778268576
modax kencarp5 numba linear,modax kencarp5 numba linear,16,22.06763904541731
modax kencarp5 numba linear,modax kencarp5 numba linear,24,42.07906872034073
modax kencarp5 numba linear,modax kencarp5 numba linear,32,67.3285867087543
modax kencarp5 numba linear,modax kencarp5 numba linear,48,189.1470979899168
modax kencarp5 numba linear,modax kencarp5 numba linear,64,539.962048176676
modax kencarp5 numba linear,modax kencarp5 numba linear,96,
modax kencarp5 numba linear,modax kencarp5 numba linear,128,
modax kencarp5 numba newton,modax kencarp5 numba newton,4,10.0749172270298
modax kencarp5 numba newton,modax kencarp5 numba newton,8,21.978682838380337
modax kencarp5 numba newton,modax kencarp5 numba newton,12,33.10380410403013
modax kencarp5 numba newton,modax kencarp5 numba newton,16,42.08559775725007
modax kencarp5 numba newton,modax kencarp5 numba newton,24,70.33332297578454
modax kencarp5 numba newton,modax kencarp5 numba newton,32,122.5217985920608
modax kencarp5 numba newton,modax kencarp5 numba newton,48,380.6158918887377
modax kencarp5 numba newton,modax kencarp5 numba newton,64,1090.2211950160563
modax kencarp5 numba newton,modax kencarp5 numba newton,96,
modax kencarp5 numba newton,modax kencarp5 numba newton,128,
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,4,7.217796053737402
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,8,8.667427115142345
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,12,8.614846970885992
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,16,9.271263144910336
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,24,10.329686105251312
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,32,18.910932820290327
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,48,33.452004194259644
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,64,57.65107600018382
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,96,95.50112299621105
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,128,200.69676730781794
diffrax kencarp5,diffrax kencarp5,4,46.07636807486415
diffrax kencarp5,diffrax kencarp5,8,65.23318029940128
diffrax kencarp5,diffrax kencarp5,12,59.84588526189327
diffrax kencarp5,diffrax kencarp5,16,64.45452710613608
diffrax kencarp5,diffrax kencarp5,24,109.00406586006284
diffrax kencarp5,diffrax kencarp5,32,123.18725092336535
diffrax kencarp5,diffrax kencarp5,48,212.80704904347658
diffrax kencarp5,diffrax kencarp5,64,316.95240223780274
diffrax kencarp5,diffrax kencarp5,96,566.3384599611163
diffrax kencarp5,diffrax kencarp5,128,941.9063460081816
julia kencarp5 array,julia kencarp5 array,4,31.158806000000002
julia kencarp5 array,julia kencarp5 array,8,44.231173999999996
julia kencarp5 array,julia kencarp5 array,12,58.166648
julia kencarp5 array,julia kencarp5 array,16,87.917586
julia kencarp5 array,julia kencarp5 array,24,141.921304
julia kencarp5 array,julia kencarp5 array,32,215.616545
julia kencarp5 array,julia kencarp5 array,48,475.379504
julia kencarp5 array,julia kencarp5 array,64,720.3511729999999
julia kencarp5 array,julia kencarp5 array,96,
julia kencarp5 array,julia kencarp5 array,128,
