gpu,solver_key,solver,divergence,dim,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel (sorted),modax tsit5 kernel (sorted),0.3,3,100000,72.91875302325934,637.3984,53.718036763406914,0.08427701852311978,0.11440058999718125,2885.627473714737,536,735,90.67598
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel (sorted),modax tsit5 kernel (sorted),0.4,3,100000,69.492531940341,606.7473,71.1390447668993,0.1172465782161689,0.11453290676421798,5060.763690346904,470,735,85.42425
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel (sorted),modax tsit5 kernel (sorted),0.5,3,100000,65.99402299616486,576.19952,88.50521523334562,0.15360168164205626,0.11453328353373994,7833.173123500835,427,735,80.38524
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel (sorted),modax tsit5 kernel (sorted),0.6,3,100000,63.024781993590295,545.05265,106.98492536670788,0.1962836532703912,0.11563063126762213,11445.774255720056,342,735,75.19692
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel (sorted),modax tsit5 kernel (sorted),0.7,3,100000,61.533646075986326,513.52042,125.73590409345846,0.2448508359092292,0.11982706758961276,15809.517578199382,291,735,69.95537
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel (sorted),modax tsit5 kernel (sorted),0.8,3,100000,57.62721807695925,481.45288,145.11317458466678,0.30140680555211713,0.11969440929911823,21057.833438039983,218,734,64.73072
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel (sorted),modax tsit5 kernel (sorted),0.9,3,100000,53.310320945456624,448.76829,165.1670288585168,0.3680452307771496,0.11879253087480095,27280.14742195012,150,735,59.54209
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel (sorted),modax tsit5 kernel (sorted),1.0,3,100000,49.66423101723194,414.56557,187.45975208604546,0.45218360050026696,0.11979825294520223,35141.15865216162,35,734,54.40924
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel,julia tsit5 kernel,0.0,3,100000,322.216046,712.0,0.0,0.0,0.4525506264044944,0.0,712,712,99.0
NVIDIA GeForce RTX 4070 SUPER,julia tsit5 kernel,julia tsit5 kernel,0.1,3,100000,1387.47019,693.26382,16.771475541272995,0.024192053670524728,2.001359583426696,281.28239183151834,658,725,100.36731
