gpu,case_key,batch_size,solve_time_ms,total_lane_iterations,wasted_lane_iterations,max_batch_loop_iterations,wasted_lane_iteration_ratio
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,1,922.8630301076919,409793,0,619,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,5,924.0930459927768,486265,76472,619,0.15726404326858812
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,31,934.2316400725394,542224,132431,619,0.24423669922393698
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,177,954.948847182095,583932,174139,619,0.29821794318516537
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,1000,931.3124169129878,619000,209207,619,0.3379757673667205
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,1,924.8692919500172,409793,0,619,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,5,926.1286288965493,410665,872,619,0.00212338524101153
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,31,936.8521010037512,415423,5630,619,0.013552451356809806
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,177,954.4488959945738,440938,31145,619,0.0706335131016152
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,1000,929.8159889876842,619000,209207,619,0.3379757673667205
