gpu,solver_key,solver,divergence,dim,n_osc,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.0,64,32,1000,1.7899835016578436,17.0,0.0,0.0,0.10529314715634375,0.0,17,17,0.0
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.25,64,32,1000,3.889367077499628,31.548,1.855569761323766,0.058817350111695386,0.12328410921451846,3.4431391391391384,27,40,1.151
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.5,64,32,1000,4.058356117457151,33.671,2.055476583175781,0.061045902502918865,0.12052971748558557,4.224983983983984,29,42,0.808
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,0.75,64,32,1000,4.225834086537361,34.683,1.8963404512658342,0.05467636742109489,0.12184165402466227,3.5961071071071076,30,44,0.68
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,1.0,64,32,1000,4.202033206820488,36.168,2.442076931576837,0.06752037523713883,0.11618096678888763,5.963739739739739,31,45,1.019
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,1.25,64,32,1000,4.379086289554834,38.639,2.978514822952968,0.0770857119219692,0.11333332357345775,8.87155055055055,32,51,1.659
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,1.5,64,32,1000,4.773381911218166,41.836,3.7721788575481585,0.09016585853208142,0.114097473735973,14.22933333333333,33,56,2.663
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,2.0,64,32,1000,5.517712514847517,49.851,4.884737419724796,0.0979867489062365,0.11068408888181816,23.860659659659657,36,65,4.887
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,2.5,64,32,1000,6.287777004763484,58.084,5.45093172371996,0.09384566702912954,0.10825316790791756,29.71265665665665,43,74,6.85
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,3.0,64,32,1000,6.952870963141322,65.741,5.8561261268190945,0.08907875035090879,0.10576156375992642,34.29421321321321,51,83,8.142
NVIDIA GeForce RTX 4070 SUPER,tsit5,JAX Tsit5,4.0,64,32,1000,8.065911615267396,79.159,6.298840718290502,0.07957200973092765,0.10189506708355835,39.6753943943944,60,97,9.391
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn,numba-cuda Tsit5,0.0,64,32,1000,4.945670906454325,17.0,0.0,0.0,0.290921818026725,0.0,17,17,0.0
